team_id,player_name,player_id
120,J. Reese,4683742
84,L. Goode,4683743
171,N. Robledo,4683745
2754,Ty Harper,4683748
235,T. Hunter,4683751
2507,B. Joseph,4683753
156,M. Miller,4683755
84,K. Carlyle,4683761
2579,J. Butler,4683763
2483,M. Cook,4683767
2483,K. Evans Jr.,4683769
8,D.J. Wagner,4683777
84,M. Mgbako,4683779
130,S. Walters,4683781
46,Cu. Williams Jr.,4683782
2535,I. West,4683784
245,W. Taylor IV,4683833
2579,J. Wright,4683836
269,S. Mitchell,4683840
2272,B. Pettiford,4683841
183,J. Carlos,4683855
26,K. Johnson,4683857
2377,Q. Copeland,4683860
2168,M. Smith,4683861
2329,T. Whitney-Sidney,4683862
145,J. Murray,4683865
142,T. Bates,4683933
2633,J. Mashack,4683934
68,RJ Keene II,4683941
2754,EJ Farmer,4683945
87,J. Roper II,4683949
2803,R. Pinzon,4683951
2541,C. Stewart Jr.,4683956
213,N. Kern Jr.,4684145
331,T. Powell,4684146
222,J. Longino,4684153
50,S. O'Neal,4684156
2097,E. Van Der Heijden,4684159
27,L. Turner,4684160
28,C. Howell,4684163
2377,B. Murray,4684166
94,K. Itejere,4684207
77,B. Barnhizer,4684208
356,K. Boswell,4684269
221,J. Lowe,4684270
333,A. Holloway,4684276
2226,T. Carroll,4684289
50,K. Washington,4684293
2174,L. Geeter,4684296
248,J. Francis,4684301
269,D. Joplin,4684306
2541,C. Tongue,4684310
104,M. Chimezie,4684448
130,W. Tschetter,4684596
2066,J. Lemond,4684622
183,C. Bell,4684627
120,R. Rice,4684634
8,J. Aidoo,4684682
2507,C. Floyd Jr.,4684718
24,C. Okpara,4684745
153,V. Lubin,4684799
2116,Da. Johnson,4684809
2655,P. Daniels,4684988
152,B. Middlebrooks,4684998
2294,R. Mulvey,4685004
38,C. Anderson Jr.,4685648
2250,D. Stromer,4685662
2440,J. McBride,4685664
2226,K. Glenn,4685668
194,A. Bradshaw,4685683
2550,G. Yalden,4685686
2239,K. Brown,4690766
38,J. Hammond III,4692907
38,J. Ruffin,4693725
228,I. Schieffelin,4693954
167,CJ Noland,4694228
154,C. Hildreth,4696316
2,M. Kelly,4696317
269,K. Jones,4697268
152,B. Pass,4697269
2294,Pa. Sandfort,4697270
183,L. Taylor,4698717
8,T. Brazile,4698719
2440,N. Davidson,4699440
245,Z. Phelps,4699725
2253,T. Grant-Foster,4700527
130,V. Goldin,4700818
236,B. Wieland,4700827
2633,C. Lanier,4700852
2,C. Baker-Mazara,4700877
2182,Y. Butler,4700880
2349,M. Brooks,4700953
2349,A. Blunt,4700954
222,J. Brickus,4700970
2737,I. Wilson,4700973
2483,J. Tracey,4701030
2649,A. Lorentsson,4701121
2377,J. Garcia,4701125
2349,M. Gray,4701160
147,J. Mullins,4701181
2608,M. Saxen,4701182
2608,L. Barrett,4701184
2739,A. Roy,4701189
228,V. Lakhin,4701192
235,M. Cisse,4701208
254,H. Erickson,4701217
235,N. Jourdain,4701221
164,J. Williams,4701222
2066,B. Callahan-Gold,4701223
2377,C. Shumate,4701228
2550,C. Jenkins,4701236
233,A. Smith,4701266
145,D. Davis,4701318
221,M. Barnes Jr.,4701543
82,M. Kancleris,4701556
2535,C. Holloway,4701559
62,T. Christensen,4701576
201,J. Moore,4701819
135,F. Odukale,4701839
97,F. Anselem-Ibe,4701842
213,P. Johnson,4701846
183,J. Davis,4701989
156,S. Ashworth,4701991
127,S. Zapala,4701993
